index,axis-0,axis-1,axis-2
0.0,0.0,1054.5600490195075,1239.3981985924597
1.0,5.0,1300.4453754675665,1280.6080298407376
2.0,5.0,1222.1466960958383,1145.9892477630294
3.0,5.0,1135.6060504744544,1088.2954840154403
4.0,5.0,1033.9551333953686,1100.6584333899236
5.0,5.0,961.1510981900774,1155.6048750542943
6.0,5.0,957.0301150652494,1268.2450804662542
7.0,5.0,994.1189631886998,1379.5116248366048
8.0,5.0,1060.0546931859446,1423.4687781681014
9.0,5.0,1175.4422206811232,1448.1946769170681
10.0,5.0,1252.367239011242,1379.5116248366048
11.0,13.0,1463.3342970519802,1399.7072340872346
12.0,13.0,1503.625944700664,1314.647089051125
13.0,13.0,1485.7185457456933,1182.5800217582182
14.0,13.0,1416.327374795183,1097.5198767221086
15.0,13.0,1320.0751054122168,1016.9365814247417
16.0,13.0,1205.9154370742804,983.360208384172
17.0,13.0,1069.3715200426307,983.360208384172
18.0,13.0,935.0660278803523,1012.459731685999
19.0,13.0,825.3832092811583,1097.5198767221086
20.0,13.0,805.2373854568166,1216.156394798788
21.0,13.0,800.7605357180739,1325.8392133979817
22.0,13.0,805.2373854568166,1448.9525812134034
23.0,13.0,832.0984838892723,1612.3575966775088
24.0,13.0,883.5822558848123,1672.795068150534
25.0,13.0,970.8808257902931,1688.464042236133
26.0,13.0,1118.6168671687994,1695.179316844247
27.0,13.0,1219.345986290508,1650.410819456821
28.0,13.0,1317.8366805428454,1581.0196485063104
29.0,13.0,1391.7047012320986,1507.1516278170575
30.0,23.0,1373.7973022771282,1697.4177417136184
31.0,23.0,1431.996348880782,1645.9339697180783
32.0,23.0,1501.3875198312926,1572.0659490288253
33.0,23.0,1586.4476648674022,1473.5752547764878
34.0,23.0,1628.977737385457,1388.5151097403782
35.0,23.0,1653.6004109485414,1290.0244154880409
36.0,23.0,1642.4082866016847,1189.295296366332
37.0,23.0,1602.1166389530013,1075.1356280283956
38.0,23.0,1539.4407426106047,1003.5060322085137
39.0,23.0,1479.0032711375795,938.5917109967459
40.0,23.0,1367.0820276690142,869.2005400462355
41.0,23.0,1246.2070847229638,822.1936177894381
42.0,23.0,1152.193240209369,799.8093690957251
43.0,23.0,1040.2719967408036,806.5246437038389
44.0,23.0,948.49657709658,831.1473172669233
45.0,23.0,841.0521833667575,869.2005400462355
46.0,23.0,733.6077896369347,929.6380115192608
47.0,23.0,691.07771711888,999.0291824697712
48.0,23.0,666.4550435557957,1079.6124777671382
49.0,23.0,632.8786705152261,1175.8647471501042
50.0,23.0,623.9249710377409,1305.69338957364
51.0,23.0,621.6865461683695,1428.8067573890617
52.0,23.0,608.2559969521417,1509.3900526864286
53.0,23.0,614.9712715602557,1641.4571199793356
54.0,23.0,630.6402456458547,1764.5704877947574
55.0,23.0,670.9318932945382,1869.7764566552087
56.0,23.0,744.7999139837914,1932.4523529976054
57.0,23.0,865.6748569298418,1977.2208503850313
58.0,23.0,991.0266496146351,1983.9361249931453
59.0,23.0,1109.6631676913141,1932.4523529976054
60.0,23.0,1212.6307116823941,1874.2533063939513
61.0,23.0,1284.260307502276,1791.431586227213
62.0,37.0,1101.513310598294,559.4407201194888
63.0,37.0,939.8359618986921,570.4018963025127
64.0,37.0,835.7047881599652,644.3898355379238
65.0,37.0,684.9886156433871,721.1180688190909
66.0,37.0,580.8574419046603,808.8074782832819
67.0,37.0,517.8306788522731,934.8610043880565
68.0,37.0,446.58303366261794,1066.395118584343
69.0,37.0,421.92038725081426,1244.5142315584808
70.0,37.0,424.66068129657026,1414.4124623953508
71.0,37.0,427.4009753423262,1573.349517049197
72.0,37.0,446.583033662618,1710.3642193369956
73.0,37.0,509.60979671500525,1883.0027442196215
74.0,37.0,567.1559716758806,2020.0174465074197
75.0,37.0,654.8453811400715,2115.9277381088787
76.0,37.0,758.9765548787983,2195.3962654358015
77.0,37.0,898.7315512123527,2231.0200880306293
78.0,37.0,1002.8627249510794,2206.3574416188258
79.0,37.0,1137.1371331931218,2132.3695023834143
80.0,37.0,1224.8265426573128,2061.1218571937593
81.0,37.0,1317.9965402130156,1967.9518596380562
82.0,37.0,1389.2441854026708,1885.7430382653774
83.0,37.0,1474.1933008211058,1798.0536288011863
84.0,37.0,1545.4409460107609,1715.8448074285075
85.0,37.0,1613.9482971546602,1598.0121634610005
86.0,37.0,1685.1959423443152,1485.6601075850058
87.0,37.0,1740.0018232594346,1356.8662874344755
88.0,37.0,1756.4435875339705,1228.0724672839451
89.0,37.0,1740.0018232594346,1110.2398233164383
90.0,37.0,1698.8974125730952,1000.6280614861996
91.0,37.0,1613.94829715466,904.7177698847408
92.0,37.0,1542.700651965005,811.5477723290378
93.0,37.0,1449.530654409302,743.0404211851387
94.0,37.0,1370.062127082379,699.1957164530431
95.0,37.0,1265.9309533436522,638.9092474464119
96.0,37.0,1219.3459545658009,616.9868950803641
97.0,57.0,1333.7214018500877,403.3352842962905
98.0,57.0,1157.1767374774092,341.02540275299225
99.0,57.0,1039.4802945622903,337.56374266725345
100.0,57.0,907.9372113042162,347.94872292446985
101.0,57.0,793.7024284748361,392.9503040390741
102.0,57.0,703.6992662456275,462.18350575385
103.0,57.0,603.3111237592025,538.3400276401034
104.0,57.0,537.5395821301655,614.4965495263568
105.0,57.0,426.7664593865242,721.8080121842594
106.0,57.0,333.3016370715768,846.4277752708559
107.0,57.0,284.83839587123373,981.4325186146688
108.0,57.0,267.53009544253973,1137.2072224729143
109.0,57.0,274.45341561401733,1268.7503057309884
110.0,57.0,274.45341561401733,1431.4483297607117
111.0,57.0,267.53009544253973,1562.9914130187858
112.0,57.0,250.2217950138458,1701.4578164483376
113.0,57.0,250.2217950138458,1857.2325203065832
114.0,57.0,312.531676557144,2016.4688842505675
115.0,57.0,416.38147912930776,2158.396947765858
116.0,57.0,527.154601872949,2286.478370938193
117.0,57.0,617.1577641021577,2362.6348928244465
118.0,57.0,734.8542070172765,2424.944774367745
119.0,57.0,925.2455117329101,2438.7914147107003
120.0,57.0,1091.4051958483722,2355.711572652969
121.0,57.0,1191.793338334797,2272.631730595238
122.0,57.0,1316.4131014213935,2161.858607851597
123.0,57.0,1409.877923736341,2047.6238250222164
124.0,57.0,1520.6510464799824,1923.00406193562
125.0,57.0,1614.1158687949296,1763.7676979916357
126.0,57.0,1697.1957108526608,1618.3779743906064
127.0,57.0,1773.3522327389142,1500.6815314754876
128.0,57.0,1821.8154739392571,1331.0601872742868
129.0,57.0,1835.6621142822123,1185.6704636732575
130.0,57.0,1804.5071735105632,1057.5890405009222
131.0,57.0,1749.1206121387427,926.0459572428481
132.0,57.0,1669.5024301667504,787.5795538132965
133.0,57.0,1586.4225881090194,676.8064310696551
134.0,57.0,1482.5727855368557,586.8032688404464
135.0,57.0,1430.6478842507738,507.1850868684543
136.0,57.0,1396.0312833933858,479.4918061825439
137.0,80.0,225.99017441367425,763.3479332131249
138.0,80.0,326.37831690009926,597.1882490976628
139.0,80.0,419.8431392150466,482.9534662682827
140.0,80.0,530.6162619586879,392.9503040390741
141.0,80.0,658.6976851310231,313.3321220670819
142.0,80.0,814.4723889892689,257.94556069526124
143.0,80.0,973.7087529332532,216.40563966639576
144.0,80.0,1160.638397563148,240.6372602665673
145.0,80.0,1319.8747615071325,320.2554422385595
146.0,80.0,1451.4178447652066,403.3352842962905
147.0,80.0,1582.9609280232805,507.1850868684543
148.0,80.0,1686.8107305954443,676.8064310696551
149.0,80.0,1794.122193253347,842.9661151851171
150.0,80.0,1873.740375225339,1078.3590010153548
151.0,80.0,1901.4336559112494,1268.7503057309884
152.0,80.0,1856.432074796645,1472.9882507895773
153.0,80.0,1666.0407700810115,1826.0775795349339
154.0,80.0,1756.04393231022,1666.8412155909496
155.0,80.0,1551.8059872516314,1954.1590027072693
156.0,80.0,1441.03286450799,2123.78034690847
157.0,80.0,1312.9514413356549,2248.4001099950665
158.0,80.0,1202.1783185920135,2352.2499125672302
159.0,80.0,1063.7119151624618,2466.4846953966103
160.0,80.0,887.1672507897833,2539.179557197125
161.0,80.0,707.1609263313662,2556.487857625819
162.0,80.0,537.5395821301654,2473.408015568088
163.0,80.0,392.1498585291362,2348.7882524814913
164.0,80.0,295.22337612845007,2234.5534696521113
165.0,80.0,212.14353407071906,2047.6238250222164
166.0,80.0,170.60361304185355,1884.9258009924934
167.0,80.0,153.2953126131596,1687.6111761053824
168.0,80.0,149.83365252742084,1452.2182902751445
169.0,80.0,163.680292870376,1223.7487246163842
170.0,80.0,191.37357355628635,1057.5890405009222
171.0,80.0,194.83523364202514,915.6609769856317
172.0,95.0,1472.1878052796392,2082.2404258796046
173.0,95.0,1416.8012439078186,2158.396947765858
174.0,95.0,1326.79808167861,2269.1700705094995
175.0,95.0,1219.4866190207074,2379.9431932531406
176.0,95.0,1077.558555505417,2497.6396361682596
177.0,95.0,932.1688319043877,2566.8728378830356
178.0,95.0,766.0091477889257,2573.796158054513
179.0,95.0,627.542744359374,2573.796158054513
180.0,95.0,502.9229812727776,2504.562956339737
181.0,95.0,402.53483878635257,2456.099715139394
182.0,95.0,288.30005595697247,2307.248331452626
183.0,95.0,212.14353407071906,2113.3953666512534
184.0,95.0,167.14195295611478,1902.2341014211875
185.0,95.0,163.68029287037598,1708.3811366198152
186.0,95.0,174.06527312759238,1524.9131520756591
187.0,95.0,180.98859329906995,1320.6752070170703
188.0,95.0,184.45025338480875,1144.1305426443919
189.0,95.0,198.29689372776392,967.5858782717136
190.0,95.0,201.75855381350272,825.6578147564231
191.0,95.0,225.99017441367425,673.3447709839163
192.0,95.0,264.068435356801,583.3416087547076
193.0,95.0,381.76487827191994,448.3368654108948
194.0,95.0,502.9229812727776,344.48706283873105
195.0,95.0,669.0826653882395,261.40722078100004
196.0,95.0,807.5490688177913,202.5589993234406
197.0,95.0,977.1704130189921,181.78904376095235
198.0,95.0,1146.791757220193,202.55900427538512
199.0,95.0,1319.8747615071327,278.7155261616385
200.0,95.0,1482.5727855368557,379.10366864806343
201.0,95.0,1600.2692284519746,482.9534712202273
202.0,95.0,1711.042351195616,666.4214557643833
203.0,95.0,1794.1221932533472,853.3511003942781
204.0,95.0,1870.2787151396005,1071.4356857958219
205.0,95.0,1891.0486756540333,1251.4420102542392
206.0,95.0,1859.8937348823843,1448.7566351413502
207.0,95.0,1801.0455134248248,1625.3012995140286
208.0,95.0,1704.1190310241386,1781.0760033722743
209.0,95.0,1607.1925486234525,1926.4657269733036
210.0,95.0,1520.6510464799826,2026.8538694597287
211.0,110.0,1852.9704147109067,1192.5937887966797
212.0,110.0,1866.8170550538616,1459.1416153985667
213.0,110.0,1856.4320747966453,1694.5345012288046
214.0,110.0,1756.0439323102205,1857.2325252585279
215.0,110.0,1648.7324696523178,2009.5455690310346
216.0,110.0,1465.2644851081618,2116.8570316889372
217.0,110.0,1326.7980816786103,2307.2483364045706
218.0,110.0,1157.1767374774095,2442.2530797483837
219.0,110.0,1008.3253537906413,2584.181143263674
220.0,110.0,817.9340490750078,2656.876005064189
221.0,110.0,651.7743649595458,2622.259404206801
222.0,110.0,471.7680405011286,2445.7147398341226
223.0,110.0,347.1482774145321,2300.3250162330933
224.0,110.0,288.30005595697264,2203.398533832407
225.0,110.0,219.06685424219683,2047.6238299741613
226.0,110.0,170.60361304185372,1888.387466030177
227.0,110.0,135.98701218446578,1729.1511020861924
228.0,110.0,118.67871175577181,1549.1447776277753
229.0,110.0,94.44709115560028,1327.5985321404926
230.0,110.0,115.21705167003302,1140.6688875105979
231.0,110.0,118.67871175577179,991.8175038238297
232.0,110.0,167.14195295611486,829.1194797941065
233.0,110.0,198.296893727764,659.4981355929057
234.0,110.0,257.14511518532345,534.8783725063091
235.0,110.0,295.2233761284501,441.4135501913617
236.0,110.0,464.84472032965095,313.3321270190264
237.0,110.0,592.9261435019862,240.6372652185118
238.0,110.0,811.0107289035301,188.71236393242995
239.0,110.0,963.3237726760369,174.86572358947478
240.0,110.0,1136.4067769629767,188.71236393242995
241.0,110.0,1302.5664610784386,254.483905561467
242.0,110.0,1420.2629039935575,334.10208753345916
243.0,110.0,1531.0360267371989,431.0285699341454
244.0,110.0,1648.7324696523178,555.6483330207419
245.0,110.0,1756.0439323102203,673.3447759358609
246.0,110.0,1801.0455134248245,794.5028789367186
247.0,110.0,1825.2771340249963,953.739242880703
248.0,110.0,1849.5087546251677,1064.5123656243443
249.0,141.0,1551.8059872516317,455.26019053431696
250.0,141.0,1465.2644851081618,323.71710727624276
251.0,141.0,1344.1063821073042,226.79062487555666
252.0,141.0,1209.1016387634913,174.86572358947478
253.0,141.0,1039.4802945622905,150.63410298930324
254.0,141.0,887.1672507897835,150.63410298930324
255.0,141.0,738.3158671030154,164.48074333225838
256.0,141.0,582.5411632447698,178.32738367521355
257.0,141.0,461.38306024391215,244.0989253042506
258.0,141.0,315.9933366428829,309.8704669332876
259.0,141.0,236.3751546708907,413.72026950545137
260.0,141.0,1631.424169223624,583.3416137066523
261.0,141.0,1735.2739717957877,732.1929973934203
262.0,141.0,1814.8921537677797,932.9692823662702
263.0,141.0,1832.2004541964739,1061.0507055386056
264.0,141.0,1842.5854344536901,1241.0570299970227
265.0,141.0,1873.7403752253392,1421.06335445544
266.0,141.0,1866.8170550538616,1601.0696789138572
267.0,141.0,1863.355394968123,1784.5376634580132
268.0,141.0,1852.9704147109067,1916.0807467160873
269.0,134.0,149.8336525274209,548.7250128492643
270.0,134.0,90.98543106986145,718.3463570504651
271.0,134.0,66.75381046968991,915.6609819375764
272.0,134.0,63.29215038395112,1161.4388480250307
273.0,134.0,56.36883021247355,1403.755054026746
274.0,134.0,59.83049029821235,1590.6846986566409
275.0,134.0,84.0621108983839,1770.691023115058
276.0,134.0,139.44867227020458,1974.9289681736468
277.0,134.0,191.37357355628646,2165.32027288928
278.0,134.0,284.83839587123384,2359.1732376906525
279.0,134.0,447.53641990095707,2501.101301205943
280.0,134.0,613.696104016419,2563.4111827492416
281.0,134.0,824.8573692464853,2584.181143263674
282.0,134.0,1060.2502550767233,2587.642803349413
283.0,134.0,1271.4115203067895,2476.8696806057715
284.0,134.0,1517.1893863942437,2341.864937261959
285.0,134.0,1693.734050766922,2120.318691774676
286.0,134.0,1797.5838533390859,1961.0823278306916
